Date,SP500,VIX,BRENT_SPOT,DNB,FDX,TEL,EQNR,MOWI,Monthly_KPI,Policy_Rate,TEL_PCT_Change,TEL_IS_POS
2010-01-31,1123.5815815172698,20.643157758210833,77.00842124537418,66.47249946594238,83.25999972694798,79.35500030517578,142.71999893188476,46.97100009918213,91.1,1.75,,0
2010-02-28,1089.1599892064144,22.540000012046413,74.90999924509148,64.46749992370606,80.50421142578125,75.62749977111817,132.03999977111818,52.58499984741211,92.4,1.75,-4.697247205245736,0
2010-03-31,1152.0486901324728,17.767391287762187,79.93130426821502,67.84782641866933,88.97347823433255,79.45434835682745,136.44347879161006,51.52956523065982,92.8,1.75,5.060128388867802,1
2010-04-30,1197.316185360863,17.42428566160656,85.75380961100261,68.3157894736842,91.9500005812872,84.1921053434673,144.04736890290914,54.08157910798725,93.0,1.75,5.962866834377278,1
2010-05-31,1125.0620056152343,31.929500007629393,76.66473669754832,65.05555534362793,85.43400001525879,80.87777837117513,134.4166670905219,54.41944461398654,92.5,1.96,-3.936624412432921,0
2010-06-30,1083.3608953302557,29.91636371612549,75.54863565618342,66.12045478820801,78.22727272727273,82.01818188753995,133.2772726579146,51.55909104780717,92.5,2.0,1.4100331875229521,1
2010-07-31,1079.8033360072545,25.565237862723215,75.50899963378906,71.44772737676448,76.78809574672154,89.44545468417081,127.76818188753995,46.166363976218484,91.9,2.0,9.055641841481975,1
2010-08-31,1087.2822709517045,24.745908997275613,77.1149999445135,73.17045419866389,82.38363682140003,93.7795462174849,123.37272713401101,49.05331802368164,91.6,2.0,4.845513445728056,1
2010-09-30,1122.0819033668154,22.51761899675642,78.49095226469494,77.13181825117631,83.76666768391927,93.27045475352894,123.39545371315695,50.4252270785245,92.3,2.0,-0.5428598073777491,0
2010-10-31,1171.5838099888392,20.3733332497733,83.53619021461124,80.74761926560174,88.27095249720982,90.30238015311105,126.61904761904762,55.014286041259766,92.4,2.0,-3.1822237902250583,0
2010-11-30,1198.8885614304315,20.095714387439546,86.16238040015811,78.73636384443803,87.89666675385975,94.0931826504794,125.14545440673828,60.861363497647375,92.6,2.0,4.197898760742413,1
2010-12-31,1241.5254516601562,17.569545529105447,92.18590823086825,80.15238080705915,93.49090922962536,93.25714292980376,135.1857147216797,60.75952402750651,93.6,2.0,-0.8885231608980804,0
2011-01-31,1282.6184997558594,17.31549987792969,96.78631591796875,80.43571544828869,93.75400009155274,91.08571479434059,140.3761909121559,62.7976188659668,92.8,2.0,-2.328430903247425,0
2011-02-28,1321.1178877981085,17.4299999036287,103.94210494192023,83.42250022888183,92.97421023720189,90.95999946594239,142.63000030517577,66.92749977111816,93.3,2.0,-0.1380187098295793,0
2011-03-31,1304.4865138841712,20.72347815140434,114.64954514936967,85.40217391304348,89.72782566236413,90.57608695652173,151.30000039805537,64.38913030209748,93.5,2.0,-0.422067405095361,0
2011-04-30,1331.5050109863282,16.244000005722047,123.05052586605674,87.49722247653537,93.73000068664551,90.08333333333333,154.00555504692926,67.71111106872559,94.1,2.0,-0.544021760870439,0
2011-05-31,1338.3104654947917,16.911428587777273,114.51428622291202,81.24761962890625,93.64761970156715,92.31190527053107,141.97619047619048,58.44523802257719,93.9,2.14,2.473900392818962,1
2011-06-30,1287.2886408025568,19.15318202972412,113.90181801535867,76.72249984741211,89.379544691606,86.35750007629395,133.68499984741212,46.62399959564209,93.5,2.25,-6.450311232107097,0
